id,n_vulns,vulns,total_cvss,max_cvss,site,Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
74,0,set(),0,0,ALASKA.GOV,ALASKA.GOV,State/Local Govt,Non-Federal Agency,State of Alaska,Juneau,AK,(blank)
75,29,"{'CVE-2017-3167', 'CVE-2012-0883', 'CVE-2012-4557', 'CVE-2011-3192', 'CVE-2014-0231', 'CVE-2010-1452', 'CVE-2016-8612', 'CVE-2011-3607', 'CVE-2012-0053', 'CVE-2013-2249', 'CVE-2011-3368', 'CVE-2010-2068', 'CVE-2016-4975', 'CVE-2013-1862', 'CVE-2017-7679', 'CVE-2012-4558', 'CVE-2011-4317', 'CVE-2011-3348', 'CVE-2012-3499', 'CVE-2011-3639', 'CVE-2017-7668', 'CVE-2013-6438', 'CVE-2011-0419', 'CVE-2017-3169', 'CVE-2012-2687', 'CVE-2014-0098', 'CVE-2011-4415', 'CVE-2013-1896', 'CVE-2012-0031'}",147.1,7.8,ALASKACARE.GOV,ALASKACARE.GOV,State/Local Govt,Non-Federal Agency,State of Alaska - Division of Retirement & Benefits,Juneau,AK,bud.curtis@alaska.gov
76,0,set(),0,0,ALASKACENTERS.GOV,ALASKACENTERS.GOV,Federal Agency - Executive,Department of the Interior,National Park Service,Washington,DC,(blank)
77,0,set(),0,0,ALBANYCOUNTYNY.GOV,ALBANYCOUNTYNY.GOV,County,Non-Federal Agency,Albany County,Albany,NY,(blank)
78,0,set(),0,0,ALBANYGA.GOV,ALBANYGA.GOV,City,Non-Federal Agency,City of Albany,Albany,GA,(blank)
79,0,set(),0,0,ALBANYNY.GOV,ALBANYNY.GOV,City,Non-Federal Agency,City of Albany,Albany,NY,(blank)
80,0,set(),0,0,ALBEMARLENC.GOV,ALBEMARLENC.GOV,City,Non-Federal Agency,City of Albemarle,Albemarle,NC,(blank)
81,0,set(),0,0,ALBUQUERQUE-NM.GOV,ALBUQUERQUE-NM.GOV,City,Non-Federal Agency,City of Albuquerque ,Albuquerque,NM,(blank)
82,0,set(),0,0,ALCONSERVATIONDISTRICTS.GOV,ALCONSERVATIONDISTRICTS.GOV,State/Local Govt,Non-Federal Agency,Alabama Soil & Water Conservation Committee,Montgomery,AL,(blank)
83,0,set(),0,0,ALDOI.GOV,ALDOI.GOV,State/Local Govt,Non-Federal Agency,Alabama Department of Insurance,Montgomery,AL,ALDOI.Webmaster@insurance.alabama.gov
84,0,set(),0,0,ALEA.GOV,ALEA.GOV,State/Local Govt,Non-Federal Agency,Alabama Law Enforcement Agency,Montgomery,AL,(blank)
85,23,"{'CVE-2017-9798', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-8109', 'CVE-2014-0226', 'CVE-2018-1312', 'CVE-2015-3185', 'CVE-2016-4975', 'CVE-2017-7679', 'CVE-2017-15710', 'CVE-2016-2161', 'CVE-2017-15715', 'CVE-2014-0118', 'CVE-2014-3523', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-0736', 'CVE-2014-0098', 'CVE-2016-8743', 'CVE-2017-9788', 'CVE-2014-0117'}",117.6,7.5,ALEKNAGIKAK.GOV,ALEKNAGIKAK.GOV,City,Non-Federal Agency,City of Aleknagik,Aleknagik,AK,(blank)
86,0,set(),0,0,ALERTAENLINEA.GOV,ALERTAENLINEA.GOV,Federal Agency - Executive,Federal Trade Commission,Federal Trade Commission,Washington,DC,(blank)
87,0,set(),0,0,ALEXANDERCITYAL.GOV,ALEXANDERCITYAL.GOV,City,Non-Federal Agency,City of Alexander City,Alexander City,AL,(blank)
88,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,ALEXANDERCOUNTYNC.GOV,ALEXANDERCOUNTYNC.GOV,County,Non-Federal Agency,Alexander County NC,Taylorsville,NC,(blank)
89,0,set(),0,0,ALEXANDRIANJ.GOV,ALEXANDRIANJ.GOV,City,Non-Federal Agency,Alexandria Township,Milford,NJ,(blank)
90,0,set(),0,0,ALEXANDRIAVA.GOV,ALEXANDRIAVA.GOV,City,Non-Federal Agency,City of Alexandria,Alexandria,VA,security@alexandriava.gov
91,0,set(),0,0,ALFREDME.GOV,ALFREDME.GOV,City,Non-Federal Agency,Town of Alfred,Alfred,ME,(blank)
92,0,set(),0,0,ALGERCOUNTY.GOV,ALGERCOUNTY.GOV,City,Non-Federal Agency,COUNTY OF ALGER,MUNISING,MI,(blank)
93,0,set(),0,0,ALGONAWA.GOV,ALGONAWA.GOV,City,Non-Federal Agency,City Of Algona,Algona,WA,(blank)
94,26,"{'CVE-2019-9637', 'CVE-2016-7478', 'CVE-2015-8994', 'CVE-2019-9641', 'CVE-2019-9020', 'CVE-2018-19520', 'CVE-2018-10545', 'CVE-2018-10549', 'CVE-2019-6977', 'CVE-2018-10547', 'CVE-2019-9021', 'CVE-2019-9638', 'CVE-2017-16642', 'CVE-2018-10546', 'CVE-2018-19935', 'CVE-2018-19395', 'CVE-2018-14883', 'CVE-2019-9024', 'CVE-2019-9639', 'CVE-2018-19396', 'CVE-2018-10548', 'CVE-2014-9767', 'CVE-2019-9023', 'CVE-2018-15132', 'CVE-2018-20783', 'CVE-2018-17082'}",146.7,7.5,ALHOUSE.GOV,ALHOUSE.GOV,State/Local Govt,Non-Federal Agency,State of Alabama - Legislative Computer Center,Montgomery ,AL,(blank)
95,0,set(),0,0,ALIQUIPPAPA.GOV,ALIQUIPPAPA.GOV,City,Non-Federal Agency,City of Aliquippa,Aliquippa,PA,(blank)
96,0,set(),0,0,ALLEGHANYCOUNTY-NC.GOV,ALLEGHANYCOUNTY-NC.GOV,County,Non-Federal Agency,Alleghany County,Sparta,NC,(blank)
97,0,set(),0,0,ALLEGHENYCOUNTYPA.GOV,ALLEGHENYCOUNTYPA.GOV,County,Non-Federal Agency,County of Allegheny,Pittsburgh,PA,(blank)
98,11,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2018-15473', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",52.1,7.5,ALLENDALENJ.GOV,ALLENDALENJ.GOV,City,Non-Federal Agency,Borough of Allendale,Allendale,NJ,jim@cobancomputers.com
99,0,set(),0,0,ALLENSTOWNNH.GOV,ALLENSTOWNNH.GOV,City,Non-Federal Agency,Town of Allenstown,Allenstown,NH,(blank)
100,0,set(),0,0,ALLENTOWNPA.GOV,ALLENTOWNPA.GOV,City,Non-Federal Agency,City of Allentown,Allentown,PA,(blank)
101,0,set(),0,0,ALMONTMICHIGAN.GOV,ALMONTMICHIGAN.GOV,City,Non-Federal Agency,Village of Almont,Almont,MI,(blank)
102,0,set(),0,0,ALPINECOUNTYCA.GOV,ALPINECOUNTYCA.GOV,County,Non-Federal Agency,County of Alpine,Markleeville,CA,(blank)
103,26,"{'CVE-2019-9637', 'CVE-2016-7478', 'CVE-2015-8994', 'CVE-2019-9641', 'CVE-2019-9020', 'CVE-2018-19520', 'CVE-2018-10545', 'CVE-2018-10549', 'CVE-2019-6977', 'CVE-2018-10547', 'CVE-2019-9021', 'CVE-2019-9638', 'CVE-2017-16642', 'CVE-2018-10546', 'CVE-2018-19935', 'CVE-2018-19395', 'CVE-2018-14883', 'CVE-2019-9024', 'CVE-2019-9639', 'CVE-2018-19396', 'CVE-2018-10548', 'CVE-2014-9767', 'CVE-2019-9023', 'CVE-2018-15132', 'CVE-2018-20783', 'CVE-2018-17082'}",146.7,7.5,ALSENATE.GOV,ALSENATE.GOV,State/Local Govt,Non-Federal Agency,State of Alabama - Legislative Computer Center ,Montgomery ,AL,(blank)
104,0,set(),0,0,ALTAVISTAVA.GOV,ALTAVISTAVA.GOV,City,Non-Federal Agency,Town of Altavista,Altavista,VA,(blank)
105,0,set(),0,0,ALTON-TX.GOV,ALTON-TX.GOV,City,Non-Federal Agency,City of Alton,Alton,TX,(blank)
106,0,set(),0,0,ALTUSANDC.GOV,ALTUSANDC.GOV,Federal Agency - Executive,Department of Defense,aftac,Patrick AFB,FL,(blank)
107,0,set(),0,0,ALTUSOK.GOV,ALTUSOK.GOV,City,Non-Federal Agency,City of Altus,Altus,OK,(blank)
108,0,set(),0,0,ALVIN-TX.GOV,ALVIN-TX.GOV,City,Non-Federal Agency,"City of Alvin, Texas",Alvin,TX,(blank)
109,0,set(),0,0,ALZHEIMERS.GOV,ALZHEIMERS.GOV,Federal Agency - Executive,Department of Health and Human Services,"National Institute on Aging, National Institutes of Health",Bethesda,MD,NIAISSO@nih.gov
110,0,set(),0,0,AMA.GOV,AMA.GOV,Federal Agency - Executive,Department of the Treasury,Department of the Treasury - FMS,Washington,DC,(blank)
111,0,set(),0,0,AMARILLO.GOV,AMARILLO.GOV,City,Non-Federal Agency,City of Amarillo ,Amarillo,TX,(blank)
112,0,set(),0,0,AMENIANY.GOV,AMENIANY.GOV,City,Non-Federal Agency,Town of Amenia,Amenia,NY,(blank)
113,0,set(),0,0,AMERICA.GOV,AMERICA.GOV,Federal Agency - Executive,Department of State,Department of State,Washington,DC,(blank)
114,0,set(),0,0,AMERICANMEMORY.GOV,AMERICANMEMORY.GOV,Federal Agency - Legislative,Library of Congress,Library of Congress,Washington,DC,(blank)
115,0,set(),0,0,AMERICANSAMOA.GOV,AMERICANSAMOA.GOV,State/Local Govt,Non-Federal Agency,AMERICAN SAMOA GOVERNMENT,Pago Pago,AS,(blank)
116,0,set(),0,0,AMERICASLIBRARY.GOV,AMERICASLIBRARY.GOV,Federal Agency - Legislative,Library of Congress,Library of Congress,Washington,DC,(blank)
117,0,set(),0,0,AMERICATHEBEAUTIFULQUARTERS.GOV,AMERICATHEBEAUTIFULQUARTERS.GOV,Federal Agency - Executive,Department of the Treasury,Department of the Treasury - Mint,Washington,DC,(blank)
118,26,"{'CVE-2017-9798', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-8109', 'CVE-2018-15919', 'CVE-2017-15906', 'CVE-2014-0226', 'CVE-2018-1312', 'CVE-2015-3185', 'CVE-2016-4975', 'CVE-2017-7679', 'CVE-2017-15710', 'CVE-2016-2161', 'CVE-2017-15715', 'CVE-2014-0118', 'CVE-2014-3523', 'CVE-2013-4352', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-0736', 'CVE-2014-0098', 'CVE-2016-8743', 'CVE-2017-9788', 'CVE-2014-0117'}",131.9,7.5,AMERICORP.GOV,AMERICORP.GOV,Federal Agency - Executive,Corporation for National & Community Service,Corporation for National and Community Service,Washington,DC,(blank)
119,26,"{'CVE-2017-9798', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-8109', 'CVE-2018-15919', 'CVE-2017-15906', 'CVE-2014-0226', 'CVE-2018-1312', 'CVE-2015-3185', 'CVE-2016-4975', 'CVE-2017-7679', 'CVE-2017-15710', 'CVE-2016-2161', 'CVE-2017-15715', 'CVE-2014-0118', 'CVE-2014-3523', 'CVE-2013-4352', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-0736', 'CVE-2014-0098', 'CVE-2016-8743', 'CVE-2017-9788', 'CVE-2014-0117'}",131.9,7.5,AMERICORPS.GOV,AMERICORPS.GOV,Federal Agency - Executive,Corporation for National & Community Service,Corporation for National & Community Service,Washington,DC,(blank)
120,0,set(),0,0,AMERICUSGA.GOV,AMERICUSGA.GOV,City,Non-Federal Agency,City of Americus,Americus,GA,(blank)
121,0,set(),0,0,AMERYWI.GOV,AMERYWI.GOV,City,Non-Federal Agency,City of Amery,Amery,WI,(blank)
122,0,set(),0,0,AMESBURYMA.GOV,AMESBURYMA.GOV,State/Local Govt,Non-Federal Agency,Town of Amesbury,Amesbury,MA,(blank)
123,0,set(),0,0,AMHERSTMA.GOV,AMHERSTMA.GOV,City,Non-Federal Agency,Town of Amherst,Amherst,MA,(blank)
124,0,set(),0,0,AMHERSTNH.GOV,AMHERSTNH.GOV,City,Non-Federal Agency,Town of Amherst,Amherst,NH,(blank)
125,3,"{'CVE-2018-15919', 'CVE-2017-15906', 'CVE-2018-15473'}",15,5,AMHERSTVA.GOV,AMHERSTVA.GOV,City,Non-Federal Agency,Town of Amherst,Amherst,VA,(blank)
126,26,"{'CVE-2017-9798', 'CVE-2014-0231', 'CVE-2017-16943', 'CVE-2016-8612', 'CVE-2014-8109', 'CVE-2014-0226', 'CVE-2018-1312', 'CVE-2015-3185', 'CVE-2016-4975', 'CVE-2017-7679', 'CVE-2017-15710', 'CVE-2016-2161', 'CVE-2017-15715', 'CVE-2014-0118', 'CVE-2014-3523', 'CVE-2013-4352', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2017-16944', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-0736', 'CVE-2014-0098', 'CVE-2016-8743', 'CVE-2017-9788', 'CVE-2014-0117'}",134.4,7.5,AMITECOUNTYMS.GOV,AMITECOUNTYMS.GOV,County,Non-Federal Agency,Amite County Board of Supervisors,Liberty,MS,(blank)
127,0,set(),0,0,AMSTERDAMNY.GOV,AMSTERDAMNY.GOV,City,Non-Federal Agency,City of Amsterdam,Amsterdam,NY,(blank)
128,0,set(),0,0,AMTRAKOIG.GOV,AMTRAKOIG.GOV,Federal Agency - Executive,AMTRAK,Amtrak Office of Inspector General,Washington,DC,(blank)
129,0,set(),0,0,ANACORTESWA.GOV,ANACORTESWA.GOV,City,Non-Federal Agency,City of Anacortes,Anacortes,WA,(blank)
130,10,"{'CVE-2009-4444', 'CVE-2003-1582', 'CVE-2009-1535', 'CVE-2009-2521', 'CVE-2008-1446', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2017-7269', 'CVE-2007-1278', 'CVE-2009-3023'}",64.2,10,ANCHORAGEAK.GOV,ANCHORAGEAK.GOV,City,Non-Federal Agency,Municipality of Anchorage,Anchorage,AK,(blank)
131,0,set(),0,0,ANCHORIT.GOV,ANCHORIT.GOV,Federal Agency - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,(blank)
132,0,set(),0,0,ANDERSONTX.GOV,ANDERSONTX.GOV,City,Non-Federal Agency,Town of Anderson,aNDERSON,TX,(blank)
133,0,set(),0,0,ANDOVER-NH.GOV,ANDOVER-NH.GOV,City,Non-Federal Agency,TOWN OF ANDOVER,Andover,NH,(blank)
134,0,set(),0,0,ANDOVERMA.GOV,ANDOVERMA.GOV,City,Non-Federal Agency,Town of Andover,Andover,MA,(blank)
135,0,set(),0,0,ANDOVERMN.GOV,ANDOVERMN.GOV,City,Non-Federal Agency,City of Andover,Andover,MN,webmaster@andovermn.gov
136,0,set(),0,0,ANDROSCOGGINCOUNTYMAINE.GOV,ANDROSCOGGINCOUNTYMAINE.GOV,County,Non-Federal Agency,County of Androscoggin,Auburn,ME,(blank)
137,0,set(),0,0,ANGELFIRENM.GOV,ANGELFIRENM.GOV,City,Non-Federal Agency,Village of Angel Fire,Angel Fire,NM,(blank)
138,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,ANGELSCAMP.GOV,ANGELSCAMP.GOV,City,Non-Federal Agency,City of Angels ,City of Angels Camp,CA,(blank)
139,0,set(),0,0,ANKENYIOWA.GOV,ANKENYIOWA.GOV,City,Non-Federal Agency,City of Ankeny,Ankeny,IA,(blank)
140,0,set(),0,0,ANNAPOLISMD.GOV,ANNAPOLISMD.GOV,City,Non-Federal Agency,City of Annapolis,Annapolis,MD,(blank)
141,0,set(),0,0,ANNATEXAS.GOV,ANNATEXAS.GOV,City,Non-Federal Agency,City of Anna,Anna,TX,(blank)
142,0,set(),0,0,ANNETTATX.GOV,ANNETTATX.GOV,City,Non-Federal Agency,Town of Annetta,Aledo,TX,(blank)
143,0,set(),0,0,ANNISTONAL.GOV,ANNISTONAL.GOV,City,Non-Federal Agency,"City of Anniston, Alabama",Anniston,AL,(blank)
144,0,set(),0,0,ANNUALCREDITREPORT.GOV,ANNUALCREDITREPORT.GOV,Federal Agency - Executive,Federal Trade Commission,Federal Trade Commission,Washington,DC,(blank)
145,40,"{'CVE-2017-3167', 'CVE-2016-0777', 'CVE-2012-0883', 'CVE-2012-4557', 'CVE-2011-3192', 'CVE-2014-0231', 'CVE-2010-1452', 'CVE-2016-8612', 'CVE-2011-3607', 'CVE-2011-3368', 'CVE-2013-2249', 'CVE-2012-0053', 'CVE-2017-15906', 'CVE-2010-2068', 'CVE-2016-4975', 'CVE-2013-1862', 'CVE-2018-15473', 'CVE-2017-7679', 'CVE-2012-4558', 'CVE-2011-4317', 'CVE-2010-4478', 'CVE-2011-3348', 'CVE-2012-3499', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2011-3639', 'CVE-2010-4755', 'CVE-2011-5000', 'CVE-2017-7668', 'CVE-2013-6438', 'CVE-2011-4327', 'CVE-2011-0419', 'CVE-2017-3169', 'CVE-2012-2687', 'CVE-2016-10708', 'CVE-2014-0098', 'CVE-2010-5107', 'CVE-2011-4415', 'CVE-2013-1896', 'CVE-2012-0031'}",199.2,7.8,ANOKACOUNTYMN.GOV,ANOKACOUNTYMN.GOV,County,Non-Federal Agency,Anoka County,Anoka,MN,(blank)
146,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",47.1,7.5,ANSTASKFORCE.GOV,ANSTASKFORCE.GOV,Federal Agency - Executive,Department of the Interior,Aquatic Nuisance Species Task Force,Arlington,VA,(blank)
147,29,"{'CVE-2017-3167', 'CVE-2012-0883', 'CVE-2012-4557', 'CVE-2011-3192', 'CVE-2014-0231', 'CVE-2010-1452', 'CVE-2016-8612', 'CVE-2011-3607', 'CVE-2012-0053', 'CVE-2013-2249', 'CVE-2011-3368', 'CVE-2010-2068', 'CVE-2016-4975', 'CVE-2013-1862', 'CVE-2017-7679', 'CVE-2012-4558', 'CVE-2011-4317', 'CVE-2011-3348', 'CVE-2012-3499', 'CVE-2011-3639', 'CVE-2017-7668', 'CVE-2013-6438', 'CVE-2011-0419', 'CVE-2017-3169', 'CVE-2012-2687', 'CVE-2014-0098', 'CVE-2011-4415', 'CVE-2013-1896', 'CVE-2012-0031'}",147.1,7.8,ANTIOCHCA.GOV,ANTIOCHCA.GOV,City,Non-Federal Agency,City of Antioch,Antioch,CA,(blank)
148,0,set(),0,0,ANTIOCHTOWNSHIPIL.GOV,ANTIOCHTOWNSHIPIL.GOV,City,Non-Federal Agency,Antioch Township,Lake Villa,IL,(blank)
149,0,set(),0,0,AOA.GOV,AOA.GOV,Federal Agency - Executive,Department of Health and Human Services,Administration on Aging,Washington,DC,(blank)
150,24,"{'CVE-2019-9637', 'CVE-2019-9641', 'CVE-2019-9020', 'CVE-2018-19520', 'CVE-2018-10545', 'CVE-2018-10549', 'CVE-2019-6977', 'CVE-2018-10547', 'CVE-2019-9021', 'CVE-2019-9638', 'CVE-2017-16642', 'CVE-2018-10546', 'CVE-2018-19935', 'CVE-2018-19395', 'CVE-2018-14883', 'CVE-2019-9024', 'CVE-2019-9639', 'CVE-2018-19396', 'CVE-2018-19518', 'CVE-2018-10548', 'CVE-2019-9023', 'CVE-2018-15132', 'CVE-2018-20783', 'CVE-2018-17082'}",139.1,8.5,AOC.GOV,AOC.GOV,Federal Agency - Legislative,Architect of the Capitol,The Architect of the Capitol,Washington,DC,(blank)
151,24,"{'CVE-2017-9798', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-8109', 'CVE-2014-0226', 'CVE-2018-1312', 'CVE-2015-3185', 'CVE-2016-4975', 'CVE-2017-7679', 'CVE-2017-15710', 'CVE-2016-2161', 'CVE-2017-15715', 'CVE-2014-0118', 'CVE-2014-3523', 'CVE-2013-4352', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-0736', 'CVE-2014-0098', 'CVE-2016-8743', 'CVE-2017-9788', 'CVE-2014-0117'}",121.9,7.5,AP.GOV,AP.GOV,Federal Agency - Executive,Department of Commerce,TCD / BIS / Dept of Commerce,Washington,DC,(blank)
152,0,set(),0,0,APPLEVALLEYUT.GOV,APPLEVALLEYUT.GOV,City,Non-Federal Agency,Town of Apple Valley,Apple Valley,UT,mayor@applevalleyut.gov
153,0,set(),0,0,APPLICATIONMANAGER.GOV,APPLICATIONMANAGER.GOV,Federal Agency - Executive,Office of Personnel Management,Network Management Group,Macon,GA,(blank)
154,0,set(),0,0,APPOMATTOXCOUNTYVA.GOV,APPOMATTOXCOUNTYVA.GOV,County,Non-Federal Agency,Appomattox County,Appomattox,VA,(blank)
155,0,set(),0,0,APPRENTICESHIP.GOV,APPRENTICESHIP.GOV,Federal Agency - Executive,Department of Labor,Office of The Chief Information Officer,Washington,DC,(blank)
156,0,set(),0,0,APPRENTICESHIPIDAHO.GOV,APPRENTICESHIPIDAHO.GOV,State/Local Govt,Non-Federal Agency,State of Idaho,Boise,ID,(blank)
157,0,set(),0,0,APPRENTICESHIPS.GOV,APPRENTICESHIPS.GOV,Federal Agency - Executive,Department of Labor,Office of The Chief Information Officer,Washington,DC,(blank)
158,0,set(),0,0,AQMD.GOV,AQMD.GOV,State/Local Govt,Non-Federal Agency,SCAQMD,Diamond Bar,CA,(blank)
159,11,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2018-15473', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",52.1,7.5,AQUINNAH-MA.GOV,AQUINNAH-MA.GOV,City,Non-Federal Agency,Town of Aquinnah,Aquinnah,MA,(blank)
160,0,set(),0,0,AR.GOV,AR.GOV,State/Local Govt,Non-Federal Agency,"Department of Information Systems, Arkansas",Little Rock,AR,(blank)
161,0,set(),0,0,ARANSASCOUNTYTX.GOV,ARANSASCOUNTYTX.GOV,County,Non-Federal Agency,"Aransas County, State of Texas",Rockport,TX,(blank)
162,0,set(),0,0,ARANSASPASSTX.GOV,ARANSASPASSTX.GOV,City,Non-Federal Agency,City of Aransas Pass,Aransas Pass,TX,(blank)
163,0,set(),0,0,ARC.GOV,ARC.GOV,Federal Agency - Executive,Appalachian Regional Commission,ARC,Washington,DC,(blank)
164,0,set(),0,0,ARCADIA-FL.GOV,ARCADIA-FL.GOV,City,Non-Federal Agency,City of Arcadia,Arcadia,FL,(blank)
165,0,set(),0,0,ARCADIACA.GOV,ARCADIACA.GOV,City,Non-Federal Agency,City of Arcadia,Arcadia,CA,(blank)
166,0,set(),0,0,ARCHBALDBOROUGHPA.GOV,ARCHBALDBOROUGHPA.GOV,City,Non-Federal Agency,Archbald Borough,Archbald,PA,(blank)
167,11,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2018-15473', 'CVE-2016-10708', 'CVE-2011-5000', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478'}",52.1,7.5,ARCHDALE-NC.GOV,ARCHDALE-NC.GOV,City,Non-Federal Agency,City of Archdale,ARCHDALE,NC,(blank)
168,0,set(),0,0,ARCHERLODGENC.GOV,ARCHERLODGENC.GOV,City,Non-Federal Agency,Town of Archer Lodge,Clayton,NC,(blank)
169,0,set(),0,0,ARCHIVES.GOV,ARCHIVES.GOV,Federal Agency - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,(blank)
170,24,"{'CVE-2017-9798', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-8109', 'CVE-2014-0226', 'CVE-2018-1312', 'CVE-2015-3185', 'CVE-2016-4975', 'CVE-2017-7679', 'CVE-2017-15710', 'CVE-2016-2161', 'CVE-2017-15715', 'CVE-2014-0118', 'CVE-2014-3523', 'CVE-2013-4352', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-0736', 'CVE-2014-0098', 'CVE-2016-8743', 'CVE-2017-9788', 'CVE-2014-0117'}",121.9,7.5,ARCOURTS.GOV,ARCOURTS.GOV,State/Local Govt,Non-Federal Agency,Administrative Office of the Courts,Little Rock,AR,dain.couch@arcourts.gov
171,0,set(),0,0,ARCTIC.GOV,ARCTIC.GOV,Federal Agency - Executive,National Science Foundation,U.S. Arctic Research Commission,Arlington,VA,(blank)
172,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,ARDOT.GOV,ARDOT.GOV,State/Local Govt,Non-Federal Agency,Arkansas Deptartment of Transportation,Little Rock,AR,(blank)
173,0,set(),0,0,ARENACCOUNTYMI.GOV,ARENACCOUNTYMI.GOV,County,Non-Federal Agency,Arenac County Commissioners Office,Standish,MI,(blank)
174,0,set(),0,0,ARIZONA.GOV,ARIZONA.GOV,State/Local Govt,Non-Federal Agency,Government Information Technology Agency,Phoenix,AZ,(blank)
175,0,set(),0,0,ARIZONAJOBCONNECTION.GOV,ARIZONAJOBCONNECTION.GOV,State/Local Govt,Non-Federal Agency,Arizona Department of Economic Security,Phoenix,AZ,(blank)
176,0,set(),0,0,ARKANSAS.GOV,ARKANSAS.GOV,State/Local Govt,Non-Federal Agency,"Department of Information System, Arkansas",Little Rock,AR,(blank)
177,2,"{'CVE-2018-15919', 'CVE-2017-15906'}",10,5,ARKANSASAG.GOV,ARKANSASAG.GOV,State/Local Govt,Non-Federal Agency,Arkansas Attorney General,Little Rock,AR,(blank)
178,0,set(),0,0,ARKANSASCITYKS.GOV,ARKANSASCITYKS.GOV,City,Non-Federal Agency,City of Arkansas City,Arkansas City,KS,(blank)
179,51,"{'CVE-2019-9023', 'CVE-2019-9637', 'CVE-2016-7478', 'CVE-2014-9427', 'CVE-2014-2497', 'CVE-2015-8994', 'CVE-2019-9641', 'CVE-2013-4635', 'CVE-2013-2110', 'CVE-2012-6113', 'CVE-2013-1824', 'CVE-2018-19520', 'CVE-2019-9020', 'CVE-2018-10545', 'CVE-2014-4721', 'CVE-2018-10549', 'CVE-2019-6977', 'CVE-2018-10547', 'CVE-2010-1256', 'CVE-2011-4718', 'CVE-2014-0237', 'CVE-2013-4113', 'CVE-2010-2730', 'CVE-2019-9021', 'CVE-2013-4248', 'CVE-2013-1635', 'CVE-2019-9638', 'CVE-2013-1643', 'CVE-2010-1899', 'CVE-2012-2688', 'CVE-2017-16642', 'CVE-2018-10546', 'CVE-2012-3450', 'CVE-2013-6420', 'CVE-2014-5459', 'CVE-2018-14883', 'CVE-2018-19395', 'CVE-2018-19935', 'CVE-2019-9024', 'CVE-2019-9639', 'CVE-2018-19396', 'CVE-2012-3365', 'CVE-2012-2143', 'CVE-2010-3972', 'CVE-2018-10548', 'CVE-2012-2531', 'CVE-2012-1171', 'CVE-2018-15132', 'CVE-2018-20783', 'CVE-2014-0238', 'CVE-2018-17082'}",288.7,10,ARKANSASED.GOV,ARKANSASED.GOV,State/Local Govt,Non-Federal Agency,Arkansas Department of Education,Little Rock,AR,(blank)
